year;month;area;uf;className;numPol
2022/2023;8.0;27.31;RO;CS_DESORDENADO;7.0
2022/2023;8.0;11.72;RO;CS_GEOMETRICO;4.0
2022/2023;8.0;16.94;RO;DEGRADACAO;32.0
2022/2023;8.0;156.9;RO;DESMATAMENTO_CR;730.0
2022/2023;8.0;2.29;RR;DEGRADACAO;7.0
2022/2023;8.0;41.81;RR;DESMATAMENTO_CR;218.0
2022/2023;8.0;3.95;RR;DESMATAMENTO_VEG;5.0
2022/2023;8.0;0.46;RR;MINERACAO;5.0
2022/2023;8.0;0.1;TO;DEGRADACAO;2.0
2022/2023;8.0;0.89;TO;DESMATAMENTO_CR;6.0
2022/2023;9.0;28.51;AC;CICATRIZ_DE_QUEIMADA;55.0
2022/2023;9.0;66.22;AC;CS_DESORDENADO;10.0
2022/2023;9.0;20.42;AC;DEGRADACAO;29.0
2022/2023;9.0;120.52;AC;DESMATAMENTO_CR;993.0
2022/2023;9.0;14.19;AM;CICATRIZ_DE_QUEIMADA;32.0
2022/2023;9.0;83.7;AM;CS_DESORDENADO;23.0
2022/2023;9.0;4.2;AM;CS_GEOMETRICO;1.0
2022/2023;9.0;36.39;AM;DEGRADACAO;42.0
2022/2023;9.0;283.87;AM;DESMATAMENTO_CR;1113.0
2022/2023;9.0;0.06;AM;DESMATAMENTO_VEG;1.0
2022/2023;9.0;33.74;AP;DEGRADACAO;1.0
2022/2023;9.0;2.19;AP;DESMATAMENTO_CR;10.0
2022/2023;9.0;5.79;MA;CICATRIZ_DE_QUEIMADA;4.0
2022/2023;9.0;0.22;MA;DEGRADACAO;1.0
2022/2023;9.0;12.07;MA;DESMATAMENTO_CR;53.0
2022/2023;9.0;3200.0;MT;CICATRIZ_DE_QUEIMADA;1431.0
2022/2023;9.0;206.48;MT;CS_DESORDENADO;68.0
2022/2023;9.0;83.01;MT;CS_GEOMETRICO;31.0
2022/2023;9.0;74.49;MT;DEGRADACAO;75.0
2022/2023;9.0;340.36;MT;DESMATAMENTO_CR;657.0
2022/2023;9.0;2301.3;PA;CICATRIZ_DE_QUEIMADA;1799.0
2022/2023;9.0;99.52;PA;CS_DESORDENADO;30.0
2022/2023;9.0;71.34;PA;CS_GEOMETRICO;15.0
2022/2023;9.0;130.46;PA;DEGRADACAO;178.0
2022/2023;9.0;530.15;PA;DESMATAMENTO_CR;2465.0
2022/2023;9.0;0.07;PA;DESMATAMENTO_VEG;1.0
2022/2023;9.0;1.26;PA;MINERACAO;16.0
2022/2023;9.0;63.16;RO;CICATRIZ_DE_QUEIMADA;65.0
2022/2023;9.0;1.6;RO;CS_DESORDENADO;2.0
2022/2023;9.0;20.61;RO;CS_GEOMETRICO;2.0
2022/2023;9.0;9.04;RO;DEGRADACAO;23.0
2022/2023;9.0;153.76;RO;DESMATAMENTO_CR;692.0
2022/2023;9.0;8.63;RR;DESMATAMENTO_CR;55.0
2022/2023;9.0;0.12;RR;DESMATAMENTO_VEG;1.0
2022/2023;9.0;7.96;TO;CICATRIZ_DE_QUEIMADA;7.0
2022/2023;9.0;1.7;TO;DESMATAMENTO_CR;13.0
2022/2023;10.0;20.58;AC;CICATRIZ_DE_QUEIMADA;37.0
2022/2023;10.0;56.11;AC;CS_DESORDENADO;20.0
2022/2023;10.0;30.45;AC;DEGRADACAO;47.0
2022/2023;10.0;64.0;AC;DESMATAMENTO_CR;485.0
2022/2023;10.0;13.21;AM;CICATRIZ_DE_QUEIMADA;31.0
2022/2023;10.0;30.83;AM;CS_DESORDENADO;19.0
2022/2023;10.0;27.93;AM;CS_GEOMETRICO;3.0
2022/2023;10.0;509.45;AM;DEGRADACAO;66.0
2022/2023;10.0;142.28;AM;DESMATAMENTO_CR;731.0
2022/2023;10.0;0.14;AM;MINERACAO;2.0
2022/2023;10.0;1.87;AP;DESMATAMENTO_CR;9.0
2022/2023;10.0;0.18;AP;MINERACAO;2.0
2022/2023;10.0;26.28;MA;CICATRIZ_DE_QUEIMADA;14.0
2022/2023;10.0;17.5;MA;DESMATAMENTO_CR;105.0
2022/2023;10.0;1242.69;MT;CICATRIZ_DE_QUEIMADA;795.0
2022/2023;10.0;19.02;MT;CS_DESORDENADO;13.0
2022/2023;10.0;98.95;MT;CS_GEOMETRICO;45.0
2022/2023;10.0;78.56;MT;DEGRADACAO;70.0
2022/2023;10.0;150.03;MT;DESMATAMENTO_CR;329.0
2022/2023;10.0;0.11;MT;DESMATAMENTO_VEG;1.0
2022/2023;10.0;543.22;PA;CICATRIZ_DE_QUEIMADA;603.0
2022/2023;10.0;32.48;PA;CS_DESORDENADO;13.0
2022/2023;10.0;29.73;PA;CS_GEOMETRICO;12.0
2022/2023;10.0;88.14;PA;DEGRADACAO;99.0
2022/2023;10.0;433.74;PA;DESMATAMENTO_CR;2405.0
2022/2023;10.0;1.23;PA;MINERACAO;13.0
2022/2023;10.0;101.93;RO;CICATRIZ_DE_QUEIMADA;52.0
2022/2023;10.0;12.21;RO;CS_DESORDENADO;11.0
2022/2023;10.0;0.6;RO;CS_GEOMETRICO;1.0
2022/2023;10.0;4.09;RO;DEGRADACAO;12.0
2022/2023;10.0;68.57;RO;DESMATAMENTO_CR;355.0
2022/2023;10.0;5.17;RR;DEGRADACAO;8.0
2022/2023;10.0;23.93;RR;DESMATAMENTO_CR;148.0
2022/2023;10.0;1.75;TO;CICATRIZ_DE_QUEIMADA;10.0
2022/2023;10.0;0.28;TO;DESMATAMENTO_CR;1.0
2022/2023;11.0;4.47;AC;CICATRIZ_DE_QUEIMADA;12.0
2022/2023;11.0;29.49;AC;CS_DESORDENADO;15.0
2022/2023;11.0;9.98;AC;DEGRADACAO;37.0
2022/2023;11.0;85.42;AC;DESMATAMENTO_CR;827.0
2022/2023;11.0;0.14;AC;DESMATAMENTO_VEG;2.0
2022/2023;11.0;21.89;AM;CICATRIZ_DE_QUEIMADA;46.0
2022/2023;11.0;65.15;AM;CS_DESORDENADO;13.0
2022/2023;11.0;30.59;AM;CS_GEOMETRICO;11.0
2022/2023;11.0;7.24;AM;DEGRADACAO;18.0
2022/2023;11.0;85.73;AM;DESMATAMENTO_CR;518.0
2022/2023;11.0;0.09;AM;DESMATAMENTO_VEG;1.0
2022/2023;11.0;0.35;AM;MINERACAO;4.0
2022/2023;11.0;0.26;AP;DESMATAMENTO_CR;1.0
2022/2023;11.0;0.15;AP;MINERACAO;1.0
2022/2023;11.0;3.3;MA;CICATRIZ_DE_QUEIMADA;5.0
2022/2023;11.0;0.81;MA;DEGRADACAO;3.0
2022/2023;11.0;8.58;MA;DESMATAMENTO_CR;42.0
2022/2023;11.0;274.3;MT;CICATRIZ_DE_QUEIMADA;295.0
2022/2023;11.0;157.16;MT;CS_DESORDENADO;61.0
2022/2023;11.0;99.74;MT;CS_GEOMETRICO;39.0
2022/2023;11.0;66.46;MT;DEGRADACAO;62.0
2022/2023;11.0;107.8;MT;DESMATAMENTO_CR;349.0
2022/2023;11.0;0.27;MT;MINERACAO;1.0
2022/2023;11.0;64.83;PA;CICATRIZ_DE_QUEIMADA;79.0
2022/2023;11.0;9.76;PA;CS_GEOMETRICO;5.0
2022/2023;11.0;16.04;PA;DEGRADACAO;27.0
2022/2023;11.0;144.19;PA;DESMATAMENTO_CR;774.0
2022/2023;11.0;2.38;PA;MINERACAO;30.0
2022/2023;11.0;29.82;RO;CICATRIZ_DE_QUEIMADA;49.0
2022/2023;11.0;28.71;RO;CS_DESORDENADO;20.0
2022/2023;11.0;0.22;RO;CS_GEOMETRICO;1.0
2022/2023;11.0;7.7;RO;DEGRADACAO;22.0
2022/2023;11.0;114.97;RO;DESMATAMENTO_CR;728.0
2022/2023;11.0;0.36;RO;DESMATAMENTO_VEG;3.0
2022/2023;11.0;0.87;RO;MINERACAO;7.0
2022/2023;11.0;0.54;RR;DEGRADACAO;2.0
2022/2023;11.0;2.08;RR;DESMATAMENTO_CR;15.0
2022/2023;11.0;0.29;RR;MINERACAO;2.0
2022/2023;11.0;0.73;TO;DESMATAMENTO_CR;2.0
2022/2023;12.0;0.1;AC;DEGRADACAO;1.0
2022/2023;12.0;12.53;AC;DESMATAMENTO_CR;106.0
2022/2023;12.0;0.45;AC;DESMATAMENTO_VEG;3.0
2022/2023;12.0;3.18;AM;CICATRIZ_DE_QUEIMADA;2.0
2022/2023;12.0;9.79;AM;CS_DESORDENADO;6.0
2022/2023;12.0;1.81;AM;DEGRADACAO;7.0
2022/2023;12.0;18.87;AM;DESMATAMENTO_CR;106.0
2022/2023;12.0;0.29;AM;DESMATAMENTO_VEG;3.0
2022/2023;12.0;0.63;AM;MINERACAO;7.0
2022/2023;12.0;0.34;AP;DESMATAMENTO_CR;3.0
2022/2023;12.0;6.24;MA;CICATRIZ_DE_QUEIMADA;6.0
2022/2023;12.0;0.29;MA;DEGRADACAO;2.0
2022/2023;12.0;5.66;MA;DESMATAMENTO_CR;21.0
2022/2023;12.0;14.02;MT;CICATRIZ_DE_QUEIMADA;16.0
2022/2023;12.0;10.78;MT;CS_DESORDENADO;5.0
2022/2023;12.0;15.63;MT;CS_GEOMETRICO;7.0
2022/2023;12.0;7.34;MT;DEGRADACAO;14.0
2022/2023;12.0;22.54;MT;DESMATAMENTO_CR;68.0
2022/2023;12.0;11.13;PA;CICATRIZ_DE_QUEIMADA;23.0
2022/2023;12.0;7.84;PA;CS_DESORDENADO;1.0
2022/2023;12.0;1.89;PA;CS_GEOMETRICO;1.0
2022/2023;12.0;7.16;PA;DEGRADACAO;16.0
2022/2023;12.0;109.16;PA;DESMATAMENTO_CR;535.0
2022/2023;12.0;0.44;PA;MINERACAO;4.0
2022/2023;12.0;1.94;RO;CICATRIZ_DE_QUEIMADA;1.0
2022/2023;12.0;0.12;RO;DEGRADACAO;1.0
2022/2023;12.0;11.59;RO;DESMATAMENTO_CR;80.0
2022/2023;12.0;0.1;RO;DESMATAMENTO_VEG;1.0
2022/2023;12.0;46.26;RR;DESMATAMENTO_CR;249.0
2022/2023;12.0;0.21;TO;DESMATAMENTO_CR;2.0
2022/2023;1.0;0.37;AC;DEGRADACAO;2.0
2022/2023;1.0;1.23;AC;DESMATAMENTO_CR;10.0
2022/2023;1.0;13.49;AM;DESMATAMENTO_CR;23.0
2022/2023;1.0;0.45;AM;DESMATAMENTO_VEG;5.0
2022/2023;1.0;0.22;AM;MINERACAO;2.0
2022/2023;1.0;0.13;AP;MINERACAO;1.0
2022/2023;1.0;4.56;MA;DESMATAMENTO_CR;22.0
2022/2023;1.0;15.62;MT;CICATRIZ_DE_QUEIMADA;11.0
2022/2023;1.0;6.42;MT;CS_DESORDENADO;2.0
2022/2023;1.0;1.77;MT;CS_GEOMETRICO;1.0
2022/2023;1.0;1.36;MT;DEGRADACAO;4.0
2022/2023;1.0;69.44;MT;DESMATAMENTO_CR;104.0
2022/2023;1.0;0.62;PA;CICATRIZ_DE_QUEIMADA;3.0
2022/2023;1.0;4.75;PA;DEGRADACAO;4.0
2022/2023;1.0;29.89;PA;DESMATAMENTO_CR;161.0
2022/2023;1.0;0.11;PA;DESMATAMENTO_VEG;1.0
2022/2023;1.0;1.53;PA;MINERACAO;13.0
2022/2023;1.0;8.44;RO;CICATRIZ_DE_QUEIMADA;8.0
2022/2023;1.0;0.21;RO;DEGRADACAO;1.0
2022/2023;1.0;13.88;RO;DESMATAMENTO_CR;50.0
2022/2023;1.0;0.71;RR;DEGRADACAO;6.0
2022/2023;1.0;29.59;RR;DESMATAMENTO_CR;174.0
2022/2023;1.0;1.87;RR;DESMATAMENTO_VEG;2.0
2022/2023;1.0;0.19;TO;DESMATAMENTO_CR;1.0
2022/2023;2.0;3.85;AC;DESMATAMENTO_CR;26.0
2022/2023;2.0;45.87;AM;DESMATAMENTO_CR;109.0
2022/2023;2.0;0.1;AM;DESMATAMENTO_VEG;1.0
2022/2023;2.0;0.4;AM;MINERACAO;6.0
2022/2023;2.0;0.12;AP;DESMATAMENTO_CR;1.0
2022/2023;2.0;3.58;MA;DESMATAMENTO_CR;19.0
2022/2023;2.0;21.73;MT;CICATRIZ_DE_QUEIMADA;26.0
2022/2023;2.0;5.02;MT;CS_DESORDENADO;3.0
2022/2023;2.0;10.72;MT;CS_GEOMETRICO;6.0
2022/2023;2.0;26.96;MT;DEGRADACAO;33.0
2022/2023;2.0;161.41;MT;DESMATAMENTO_CR;311.0
2022/2023;2.0;0.42;MT;DESMATAMENTO_VEG;2.0
2022/2023;2.0;0.72;PA;CICATRIZ_DE_QUEIMADA;2.0
2022/2023;2.0;1.79;PA;CS_DESORDENADO;2.0
2022/2023;2.0;12.45;PA;DEGRADACAO;25.0
2022/2023;2.0;37.9;PA;DESMATAMENTO_CR;185.0
2022/2023;2.0;0.07;PA;DESMATAMENTO_VEG;1.0
2022/2023;2.0;8.49;PA;MINERACAO;76.0
2022/2023;2.0;1.73;RO;CICATRIZ_DE_QUEIMADA;3.0
2022/2023;2.0;0.49;RO;DEGRADACAO;3.0
2022/2023;2.0;28.47;RO;DESMATAMENTO_CR;148.0
2022/2023;2.0;2.66;RR;CS_DESORDENADO;3.0
2022/2023;2.0;1.09;RR;CS_GEOMETRICO;1.0
2022/2023;2.0;3.37;RR;DEGRADACAO;15.0
2022/2023;2.0;30.83;RR;DESMATAMENTO_CR;190.0
2022/2023;2.0;0.1;RR;DESMATAMENTO_VEG;1.0
2022/2023;2.0;0.26;RR;MINERACAO;3.0
2022/2023;2.0;1.43;TO;DEGRADACAO;3.0
2022/2023;2.0;0.1;TO;DESMATAMENTO_CR;1.0
2022/2023;3.0;0.1;AC;DEGRADACAO;1.0
2022/2023;3.0;1.47;AC;DESMATAMENTO_CR;13.0
2022/2023;3.0;0.13;AC;DESMATAMENTO_VEG;1.0
2022/2023;3.0;0.11;AM;CICATRIZ_DE_QUEIMADA;1.0
2022/2023;3.0;1.57;AM;CS_DESORDENADO;1.0
2022/2023;3.0;1.78;AM;DEGRADACAO;5.0
2022/2023;3.0;121.53;AM;DESMATAMENTO_CR;282.0
2022/2023;3.0;3.14;AM;DESMATAMENTO_VEG;21.0
2022/2023;3.0;2.18;AM;MINERACAO;15.0
2022/2023;3.0;0.75;AP;DESMATAMENTO_CR;4.0
2022/2023;3.0;0.24;AP;DESMATAMENTO_VEG;3.0
2022/2023;3.0;0.58;AP;MINERACAO;8.0
2022/2023;3.0;0.59;MA;DEGRADACAO;1.0
2022/2023;3.0;0.62;MA;DESMATAMENTO_CR;4.0
2022/2023;3.0;17.4;MT;CICATRIZ_DE_QUEIMADA;22.0
2022/2023;3.0;34.2;MT;CS_DESORDENADO;11.0
2022/2023;3.0;18.2;MT;CS_GEOMETRICO;14.0
2022/2023;3.0;15.5;MT;DEGRADACAO;22.0
2022/2023;3.0;78.96;MT;DESMATAMENTO_CR;220.0
2022/2023;3.0;0.28;MT;DESMATAMENTO_VEG;2.0
2022/2023;3.0;0.41;MT;MINERACAO;6.0
2022/2023;3.0;2.93;PA;CICATRIZ_DE_QUEIMADA;5.0
2022/2023;3.0;11.75;PA;CS_DESORDENADO;7.0
2022/2023;3.0;0.3;PA;CS_GEOMETRICO;1.0
2022/2023;3.0;9.14;PA;DEGRADACAO;26.0
2022/2023;3.0;70.71;PA;DESMATAMENTO_CR;226.0
2022/2023;3.0;6.71;PA;DESMATAMENTO_VEG;9.0
2022/2023;3.0;5.19;PA;MINERACAO;57.0
2022/2023;3.0;9.53;RO;CS_DESORDENADO;5.0
2022/2023;3.0;3.01;RO;CS_GEOMETRICO;1.0
2022/2023;3.0;1.21;RO;DEGRADACAO;9.0
2022/2023;3.0;33.59;RO;DESMATAMENTO_CR;159.0
2022/2023;3.0;0.71;RR;CICATRIZ_DE_QUEIMADA;4.0
2022/2023;3.0;5.07;RR;DEGRADACAO;5.0
2022/2023;3.0;27.56;RR;DESMATAMENTO_CR;177.0
2022/2023;3.0;1.92;RR;MINERACAO;18.0
2022/2023;3.0;0.17;TO;DESMATAMENTO_CR;2.0
2022/2023;4.0;0.93;AC;DEGRADACAO;2.0
2022/2023;4.0;5.34;AC;DESMATAMENTO_CR;35.0
2022/2023;4.0;1.84;AC;DESMATAMENTO_VEG;17.0
2022/2023;4.0;0.36;AM;CICATRIZ_DE_QUEIMADA;2.0
2022/2023;4.0;25.69;AM;CS_DESORDENADO;4.0
2022/2023;4.0;2.59;AM;CS_GEOMETRICO;1.0
2022/2023;4.0;1.31;AM;DEGRADACAO;6.0
2022/2023;4.0;86.22;AM;DESMATAMENTO_CR;272.0
2022/2023;4.0;1.7;AM;DESMATAMENTO_VEG;13.0
2022/2023;4.0;0.96;AM;MINERACAO;8.0
2022/2023;4.0;0.33;AP;DESMATAMENTO_CR;3.0
2022/2023;4.0;0.1;AP;DESMATAMENTO_VEG;1.0
2022/2023;4.0;0.21;MA;DEGRADACAO;2.0
2022/2023;4.0;2.92;MA;DESMATAMENTO_CR;18.0
2022/2023;4.0;0.52;MA;DESMATAMENTO_VEG;4.0
2022/2023;4.0;17.03;MT;CICATRIZ_DE_QUEIMADA;22.0
2022/2023;4.0;4.71;MT;CS_DESORDENADO;2.0
2022/2023;4.0;2.52;MT;CS_GEOMETRICO;4.0
2022/2023;4.0;14.34;MT;DEGRADACAO;13.0
2022/2023;4.0;70.34;MT;DESMATAMENTO_CR;190.0
2022/2023;4.0;9.02;MT;DESMATAMENTO_VEG;14.0
2022/2023;4.0;0.79;MT;MINERACAO;7.0
2022/2023;4.0;7.86;PA;CICATRIZ_DE_QUEIMADA;8.0
2022/2023;4.0;2.89;PA;CS_DESORDENADO;5.0
2022/2023;4.0;2.12;PA;CS_GEOMETRICO;4.0
2022/2023;4.0;52.63;PA;DEGRADACAO;42.0
2022/2023;4.0;76.6;PA;DESMATAMENTO_CR;245.0
2022/2023;4.0;5.47;PA;DESMATAMENTO_VEG;30.0
2022/2023;4.0;4.01;PA;MINERACAO;41.0
2022/2023;4.0;0.29;RO;DEGRADACAO;2.0
2022/2023;4.0;42.95;RO;DESMATAMENTO_CR;188.0
2022/2023;4.0;3.05;RO;DESMATAMENTO_VEG;10.0
2022/2023;4.0;1.0;RR;CICATRIZ_DE_QUEIMADA;5.0
2022/2023;4.0;0.27;RR;CS_DESORDENADO;1.0
2022/2023;4.0;1.8;RR;CS_GEOMETRICO;1.0
2022/2023;4.0;6.35;RR;DEGRADACAO;11.0
2022/2023;4.0;14.96;RR;DESMATAMENTO_CR;91.0
2022/2023;4.0;1.24;RR;MINERACAO;13.0
2022/2023;4.0;0.35;TO;DESMATAMENTO_CR;3.0
2022/2023;5.0;0.11;AC;DEGRADACAO;1.0
2022/2023;5.0;4.64;AC;DESMATAMENTO_CR;35.0
2022/2023;5.0;1.83;AC;DESMATAMENTO_VEG;13.0
2022/2023;5.0;22.71;AM;DEGRADACAO;25.0
2022/2023;5.0;137.66;AM;DESMATAMENTO_CR;449.0
2022/2023;5.0;9.68;AM;DESMATAMENTO_VEG;49.0
2022/2023;5.0;0.52;AM;MINERACAO;7.0
2022/2023;5.0;0.12;AP;DESMATAMENTO_CR;1.0
2022/2023;5.0;0.74;AP;DESMATAMENTO_VEG;5.0
2022/2023;5.0;1.57;AP;MINERACAO;14.0
2022/2023;5.0;0.15;MA;CICATRIZ_DE_QUEIMADA;1.0
2022/2023;5.0;1.49;MA;DEGRADACAO;2.0
2022/2023;5.0;3.23;MA;DESMATAMENTO_CR;26.0
2022/2023;5.0;0.75;MA;DESMATAMENTO_VEG;6.0
2022/2023;5.0;47.13;MT;CICATRIZ_DE_QUEIMADA;37.0
2022/2023;5.0;75.43;MT;CS_DESORDENADO;38.0
2022/2023;5.0;339.69;MT;CS_GEOMETRICO;152.0
2022/2023;5.0;96.79;MT;DEGRADACAO;94.0
2022/2023;5.0;196.2;MT;DESMATAMENTO_CR;545.0
2022/2023;5.0;182.05;MT;DESMATAMENTO_VEG;91.0
2022/2023;5.0;0.61;MT;MINERACAO;9.0
2022/2023;5.0;2.3;PA;CICATRIZ_DE_QUEIMADA;4.0
2022/2023;5.0;101.05;PA;CS_DESORDENADO;32.0
2022/2023;5.0;44.12;PA;CS_GEOMETRICO;4.0
2022/2023;5.0;42.76;PA;DEGRADACAO;43.0
2022/2023;5.0;135.3;PA;DESMATAMENTO_CR;509.0
2022/2023;5.0;50.87;PA;DESMATAMENTO_VEG;203.0
2022/2023;5.0;9.02;PA;MINERACAO;93.0
2022/2023;5.0;0.4;RO;CICATRIZ_DE_QUEIMADA;1.0
2022/2023;5.0;5.71;RO;CS_DESORDENADO;4.0
2022/2023;5.0;2.29;RO;DEGRADACAO;6.0
2022/2023;5.0;61.62;RO;DESMATAMENTO_CR;335.0
2022/2023;5.0;10.13;RO;DESMATAMENTO_VEG;41.0
2022/2023;5.0;0.11;RO;MINERACAO;1.0
2022/2023;5.0;4.95;RR;DESMATAMENTO_CR;42.0
2022/2023;5.0;0.11;RR;MINERACAO;1.0
2022/2023;5.0;0.61;TO;DESMATAMENTO_CR;6.0
2022/2023;6.0;2.46;AC;CS_DESORDENADO;2.0
2022/2023;6.0;3.3;AC;DEGRADACAO;16.0
2022/2023;6.0;15.58;AC;DESMATAMENTO_CR;120.0
2022/2023;6.0;2.51;AC;DESMATAMENTO_VEG;22.0
2022/2023;6.0;4.21;AM;CICATRIZ_DE_QUEIMADA;15.0
2022/2023;6.0;5.38;AM;CS_DESORDENADO;8.0
2022/2023;6.0;10.62;AM;DEGRADACAO;24.0
2022/2023;6.0;121.33;AM;DESMATAMENTO_CR;604.0
2022/2023;6.0;4.92;AM;DESMATAMENTO_VEG;41.0
2022/2023;6.0;3.04;AM;MINERACAO;31.0
2022/2023;6.0;0.08;AP;DESMATAMENTO_VEG;1.0
2022/2023;6.0;1.29;AP;MINERACAO;15.0
2022/2023;6.0;0.63;MA;CICATRIZ_DE_QUEIMADA;2.0
2022/2023;6.0;0.85;MA;CS_GEOMETRICO;1.0
2022/2023;6.0;0.38;MA;DEGRADACAO;1.0
2022/2023;6.0;8.56;MA;DESMATAMENTO_CR;58.0
2022/2023;6.0;50.41;MT;CICATRIZ_DE_QUEIMADA;40.0
2022/2023;6.0;64.48;MT;CS_DESORDENADO;19.0
2022/2023;6.0;151.52;MT;CS_GEOMETRICO;63.0
2022/2023;6.0;67.3;MT;DEGRADACAO;70.0
2022/2023;6.0;120.39;MT;DESMATAMENTO_CR;325.0
2022/2023;6.0;14.01;MT;DESMATAMENTO_VEG;26.0
2022/2023;6.0;0.95;MT;MINERACAO;13.0
2022/2023;6.0;3.41;PA;CICATRIZ_DE_QUEIMADA;10.0
2022/2023;6.0;101.58;PA;CS_DESORDENADO;43.0
2022/2023;6.0;22.0;PA;CS_GEOMETRICO;15.0
2022/2023;6.0;61.52;PA;DEGRADACAO;86.0
2022/2023;6.0;159.09;PA;DESMATAMENTO_CR;803.0
2022/2023;6.0;127.56;PA;DESMATAMENTO_VEG;401.0
2022/2023;6.0;15.24;PA;MINERACAO;174.0
2022/2023;6.0;29.08;RO;CICATRIZ_DE_QUEIMADA;14.0
2022/2023;6.0;11.21;RO;CS_DESORDENADO;8.0
2022/2023;6.0;16.59;RO;DEGRADACAO;17.0
2022/2023;6.0;51.73;RO;DESMATAMENTO_CR;307.0
2022/2023;6.0;6.91;RO;DESMATAMENTO_VEG;42.0
2022/2023;6.0;0.08;RO;MINERACAO;1.0
2022/2023;6.0;2.82;RR;CS_DESORDENADO;2.0
2022/2023;6.0;2.19;RR;DEGRADACAO;3.0
2022/2023;6.0;6.59;RR;DESMATAMENTO_CR;41.0
2022/2023;6.0;2.37;RR;DESMATAMENTO_VEG;3.0
2022/2023;6.0;0.47;TO;DESMATAMENTO_CR;3.0
2022/2023;6.0;0.3;TO;DESMATAMENTO_VEG;2.0
2022/2023;7.0;7.52;AC;CS_DESORDENADO;8.0
2022/2023;7.0;13.21;AC;DEGRADACAO;16.0
2022/2023;7.0;24.55;AC;DESMATAMENTO_CR;267.0
2022/2023;7.0;0.4;AC;DESMATAMENTO_VEG;3.0
2022/2023;7.0;3.12;AM;CICATRIZ_DE_QUEIMADA;8.0
2022/2023;7.0;34.34;AM;CS_DESORDENADO;25.0
2022/2023;7.0;8.03;AM;CS_GEOMETRICO;4.0
2022/2023;7.0;19.25;AM;DEGRADACAO;42.0
2022/2023;7.0;83.62;AM;DESMATAMENTO_CR;525.0
2022/2023;7.0;3.74;AM;DESMATAMENTO_VEG;32.0
2022/2023;7.0;5.03;AM;MINERACAO;39.0
2022/2023;7.0;0.12;AP;DESMATAMENTO_CR;1.0
2022/2023;7.0;0.36;AP;DESMATAMENTO_VEG;3.0
2022/2023;7.0;0.38;MA;CICATRIZ_DE_QUEIMADA;2.0
2022/2023;7.0;4.62;MA;CS_DESORDENADO;2.0
2022/2023;7.0;1.35;MA;DEGRADACAO;4.0
2022/2023;7.0;8.24;MA;DESMATAMENTO_CR;57.0
2022/2023;7.0;0.31;MA;DESMATAMENTO_VEG;3.0
2022/2023;7.0;30.24;MT;CICATRIZ_DE_QUEIMADA;27.0
2022/2023;7.0;165.35;MT;CS_DESORDENADO;88.0
2022/2023;7.0;229.66;MT;CS_GEOMETRICO;106.0
2022/2023;7.0;97.55;MT;DEGRADACAO;114.0
2022/2023;7.0;84.62;MT;DESMATAMENTO_CR;310.0
2022/2023;7.0;0.34;MT;DESMATAMENTO_VEG;2.0
2022/2023;7.0;0.58;MT;MINERACAO;6.0
2022/2023;7.0;4.66;PA;CICATRIZ_DE_QUEIMADA;13.0
2022/2023;7.0;171.7;PA;CS_DESORDENADO;61.0
2022/2023;7.0;122.48;PA;CS_GEOMETRICO;39.0
2022/2023;7.0;108.66;PA;DEGRADACAO;178.0
2022/2023;7.0;191.22;PA;DESMATAMENTO_CR;1121.0
2022/2023;7.0;41.37;PA;DESMATAMENTO_VEG;132.0
2022/2023;7.0;4.23;PA;MINERACAO;57.0
2022/2023;7.0;4.42;RO;CICATRIZ_DE_QUEIMADA;14.0
2022/2023;7.0;21.57;RO;CS_DESORDENADO;16.0
2022/2023;7.0;4.0;RO;CS_GEOMETRICO;2.0
2022/2023;7.0;7.41;RO;DEGRADACAO;33.0
2022/2023;7.0;44.42;RO;DESMATAMENTO_CR;300.0
2022/2023;7.0;0.85;RO;DESMATAMENTO_VEG;5.0
2022/2023;7.0;0.27;RR;DEGRADACAO;1.0
2022/2023;7.0;5.32;RR;DESMATAMENTO_CR;35.0
2022/2023;7.0;0.13;RR;DESMATAMENTO_VEG;1.0
2022/2023;7.0;0.46;TO;DESMATAMENTO_CR;5.0
2023/2024;8.0;21.92;AC;CS_DESORDENADO;19.0
2023/2024;8.0;2.3;AC;DEGRADACAO;10.0
2023/2024;8.0;24.16;AC;DESMATAMENTO_CR;258.0
2023/2024;8.0;0.29;AC;DESMATAMENTO_VEG;3.0
2023/2024;8.0;4.81;AM;CICATRIZ_DE_QUEIMADA;19.0
2023/2024;8.0;54.8;AM;CS_DESORDENADO;18.0
2023/2024;8.0;14.11;AM;CS_GEOMETRICO;3.0
2023/2024;8.0;13.94;AM;DEGRADACAO;30.0
2023/2024;8.0;81.09;AM;DESMATAMENTO_CR;483.0
2023/2024;8.0;0.59;AM;DESMATAMENTO_VEG;4.0
2023/2024;8.0;3.45;AM;MINERACAO;27.0
2023/2024;8.0;0.56;AP;DESMATAMENTO_CR;4.0
2023/2024;8.0;1.07;AP;MINERACAO;11.0
2023/2024;8.0;0.12;MA;CICATRIZ_DE_QUEIMADA;1.0
2023/2024;8.0;1.01;MA;DEGRADACAO;2.0
2023/2024;8.0;14.75;MA;DESMATAMENTO_CR;84.0
2023/2024;8.0;0.09;MA;MINERACAO;1.0
2023/2024;8.0;795.22;MT;CICATRIZ_DE_QUEIMADA;412.0
2023/2024;8.0;97.92;MT;CS_DESORDENADO;56.0
2023/2024;8.0;225.01;MT;CS_GEOMETRICO;77.0
